CompanyName,Address,Address2,City,State,CountryCode,Zip,ServiceAreaBusiness,WorkNumber,AdditionalWorkNumber1,AdditionalWorkNumber2,AdditionalWorkNumber3,AdditionalWorkNumber4,AdditionalWorkNumber5,Website,SalesPersonEmail,CustomerIdentifier,Local SEO,Social Marketing,Reputation Management,AccountIdentifier,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10,Tag11,Tag12,Tag13,Tag14,Tag15,TollFreeNumber,Description,ShortDescription,Landmark,PaymentAmericanExpress,PaymentAndroidPay,PaymentApplePay,PaymentCash,PaymentCheck,PaymentDebit,PaymentDinersClub,PaymentDiscover,PaymentMasterCard,PaymentPayPal,PaymentSamsungPay,PaymentStoreCard,PaymentTravelersChecks,PaymentVisa,Service1,Service2,Service3,Service4,Service5,Service6,Service7,Service8,Service9,Service10,Service11,Service12,Service13,Service14,Service15,Brand1,Brand2,Brand3,Brand4,Brand5,Brand6,Brand7,Brand8,Brand9,Brand10,Brand11,Brand12,Brand13,Brand14,Brand15,HoursOpen1,HoursClosed1,HoursDays1,HoursNotes1,HoursOpen2,HoursClosed2,HoursDays2,HoursNotes2,HoursOpen3,HoursClosed3,HoursDays3,HoursNotes3,HoursOpen4,HoursClosed4,HoursDays4,HoursNotes4,HoursOpen5,HoursClosed5,HoursDays5,HoursNotes5,HoursOpen6,HoursClosed6,HoursDays6,HoursNotes6,HoursOpen7,HoursClosed7,HoursDays7,HoursNotes7,HoursOpen8,HoursClosed8,HoursDays8,HoursNotes8,HoursOpen9,HoursClosed9,HoursDays9,HoursNotes9,HoursOpen10,HoursClosed10,HoursDays10,HoursNotes10,HoursOpen11,HoursClosed11,HoursDays11,HoursNotes11,HoursOpen12,HoursClosed12,HoursDays12,HoursNotes12,HoursOpen13,HoursClosed13,HoursDays13,HoursNotes13,HoursOpen14,HoursClosed14,HoursDays14,HoursNotes14,HoursOpen15,HoursClosed15,HoursDays15,HoursNotes15,HoursOpen16,HoursClosed16,HoursDays16,HoursNotes16,HoursOpen17,HoursClosed17,HoursDays17,HoursNotes17,HoursOpen18,HoursClosed18,HoursDays18,HoursNotes18,HoursOpen19,HoursClosed19,HoursDays19,HoursNotes19,HoursOpen20,HoursClosed20,HoursDays20,HoursNotes20,HoursOpen21,HoursClosed21,HoursDays21,HoursNotes21,HoursOpen22,HoursClosed22,HoursDays22,HoursNotes22,HoursOpen23,HoursClosed23,HoursDays23,HoursNotes23,HoursOpen24,HoursClosed24,HoursDays24,HoursNotes24,HoursOpen25,HoursClosed25,HoursDays25,HoursNotes25,HoursOpen26,HoursClosed26,HoursDays26,HoursNotes26,HoursOpen27,HoursClosed27,HoursDays27,HoursNotes27,HoursOpen28,HoursClosed28,HoursDays28,HoursNotes28,HoursOpen29,HoursClosed29,HoursDays29,HoursNotes29,HoursOpen30,HoursClosed30,HoursDays30,HoursNotes30,HoursOpen31,HoursClosed31,HoursDays31,HoursNotes31,HoursOpen32,HoursClosed32,HoursDays32,HoursNotes32,HoursOpen33,HoursClosed33,HoursDays33,HoursNotes33,HoursOpen34,HoursClosed34,HoursDays34,HoursNotes34,HoursOpen35,HoursClosed35,HoursDays35,HoursNotes35,HoursOpen36,HoursClosed36,HoursDays36,HoursNotes36,HoursOpen37,HoursClosed37,HoursDays37,HoursNotes37,HoursOpen38,HoursClosed38,HoursDays38,HoursNotes38,HoursOpen39,HoursClosed39,HoursDays39,HoursNotes39,HoursOpen40,HoursClosed40,HoursDays40,HoursNotes40,HoursOpen41,HoursClosed41,HoursDays41,HoursNotes41,HoursOpen42,HoursClosed42,HoursDays42,HoursNotes42,HoursOpen43,HoursClosed43,HoursDays43,HoursNotes43,HoursOpen44,HoursClosed44,HoursDays44,HoursNotes44,HoursOpen45,HoursClosed45,HoursDays45,HoursNotes45,HoursOpen46,HoursClosed46,HoursDays46,HoursNotes46,HoursOpen47,HoursClosed47,HoursDays47,HoursNotes47,HoursOpen48,HoursClosed48,HoursDays48,HoursNotes48,HoursOpen49,HoursClosed49,HoursDays49,HoursNotes49,HoursOpen50,HoursClosed50,HoursDays50,HoursNotes50,HoursOpen51,HoursClosed51,HoursDays51,HoursNotes51,HoursOpen52,HoursClosed52,HoursDays52,HoursNotes52,HoursOpen53,HoursClosed53,HoursDays53,HoursNotes53,HoursOpen54,HoursClosed54,HoursDays54,HoursNotes54,HoursOpen55,HoursClosed55,HoursDays55,HoursNotes55,HoursOpen56,HoursClosed56,HoursDays56,HoursNotes56,HoursOpen57,HoursClosed57,HoursDays57,HoursNotes57,HoursOpen58,HoursClosed58,HoursDays58,HoursNotes58,HoursOpen59,HoursClosed59,HoursDays59,HoursNotes59,HoursOpen60,HoursClosed60,HoursDays60,HoursNotes60,HoursOpen61,HoursClosed61,HoursDays61,HoursNotes61,HoursOpen62,HoursClosed62,HoursDays62,HoursNotes62,HoursOpen63,HoursClosed63,HoursDays63,HoursNotes63,HoursOpen64,HoursClosed64,HoursDays64,HoursNotes64,HoursOpen65,HoursClosed65,HoursDays65,HoursNotes65,HoursOpen66,HoursClosed66,HoursDays66,HoursNotes66,HoursOpen67,HoursClosed67,HoursDays67,HoursNotes67,HoursOpen68,HoursClosed68,HoursDays68,HoursNotes68,HoursOpen69,HoursClosed69,HoursDays69,HoursNotes69,HoursOpen70,HoursClosed70,HoursDays70,HoursNotes70,HoursOpen71,HoursClosed71,HoursDays71,HoursNotes71,HoursOpen72,HoursClosed72,HoursDays72,HoursNotes72,HoursOpen73,HoursClosed73,HoursDays73,HoursNotes73,HoursOpen74,HoursClosed74,HoursDays74,HoursNotes74,HoursOpen75,HoursClosed75,HoursDays75,HoursNotes75,HoursOpen76,HoursClosed76,HoursDays76,HoursNotes76,HoursOpen77,HoursClosed77,HoursDays77,HoursNotes77,HoursOpen78,HoursClosed78,HoursDays78,HoursNotes78,HoursOpen79,HoursClosed79,HoursDays79,HoursNotes79,HoursOpen80,HoursClosed80,HoursDays80,HoursNotes80,HoursPublicHolidays1,HoursPublicHolidays2,HoursPublicHolidays3,HoursPublicHolidays4,HoursPublicHolidays5,HoursPublicHolidays6,HoursPublicHolidays7,HoursPublicHolidays8,HoursPublicHolidays9,HoursPublicHolidays10,HoursPublicHolidays11,HoursPublicHolidays12,HoursPublicHolidays13,HoursPublicHolidays14,HoursPublicHolidays15,HoursPublicHolidays16,HoursPublicHolidays17,HoursPublicHolidays18,HoursPublicHolidays19,HoursPublicHolidays20,HoursPublicHolidays21,HoursPublicHolidays22,HoursPublicHolidays23,HoursPublicHolidays24,HoursPublicHolidays25,HoursPublicHolidays26,HoursPublicHolidays27,HoursPublicHolidays28,HoursPublicHolidays29,HoursPublicHolidays30,HoursPublicHolidays31,HoursPublicHolidays32,HoursPublicHolidays33,HoursPublicHolidays34,HoursPublicHolidays35,HoursPublicHolidays36,HoursPublicHolidays37,HoursPublicHolidays38,HoursPublicHolidays39,HoursPublicHolidays40,HoursPublicHolidays41,HoursPublicHolidays42,HoursPublicHolidays43,HoursPublicHolidays44,HoursPublicHolidays45,HoursPublicHolidays46,HoursPublicHolidays47,HoursPublicHolidays48,HoursPublicHolidays49,HoursPublicHolidays50,HoursPublicHolidays51,HoursPublicHolidays52,HoursPublicHolidays53,HoursPublicHolidays54,HoursPublicHolidays55,HoursPublicHolidays56,HoursPublicHolidays57,HoursPublicHolidays58,HoursPublicHolidays59,HoursPublicHolidays60,HoursPublicHolidays61,HoursPublicHolidays62,HoursPublicHolidays63,HoursPublicHolidays64,HoursPublicHolidays65,HoursPublicHolidays66,HoursPublicHolidays67,HoursPublicHolidays68,HoursPublicHolidays69,HoursPublicHolidays70,HoursPublicHolidays71,HoursPublicHolidays72,HoursPublicHolidays73,HoursPublicHolidays74,HoursPublicHolidays75,HoursPublicHolidays76,HoursPublicHolidays77,HoursPublicHolidays78,HoursPublicHolidays79,HoursPublicHolidays80,HealthCareProfessionalInformation_office,HealthCareProfessionalInformation_firstName,HealthCareProfessionalInformation_initials,HealthCareProfessionalInformation_lastName,HealthCareProfessionalInformation_email,HealthCareProfessionalInformation_dateOfBirth,HealthCareProfessionalInformation_gender,HealthCareProfessionalInformation_medicalLicenseNumber,HealthCareProfessionalInformation_nationalProviderIdentifier,HealthCareProfessionalInformation_stateLicense,HealthCareProfessionalInformation_standardizedTitle,HealthCareProfessionalInformation_isTakingPatients,HealthCareProfessionalInformation_professionalCredential1,HealthCareProfessionalInformation_professionalCredential2,HealthCareProfessionalInformation_professionalCredential3,HealthCareProfessionalInformation_professionalCredential4,HealthCareProfessionalInformation_professionalCredential5,HealthCareProfessionalInformation_professionalCredential6,HealthCareProfessionalInformation_professionalCredential7,HealthCareProfessionalInformation_professionalCredential8,HealthCareProfessionalInformation_professionalCredential9,HealthCareProfessionalInformation_professionalCredential10,HealthCareProfessionalInformation_professionalCredential11,HealthCareProfessionalInformation_professionalCredential12,HealthCareProfessionalInformation_professionalCredential13,HealthCareProfessionalInformation_professionalCredential14,HealthCareProfessionalInformation_professionalCredential15,HealthCareProfessionalInformation_specialty1,HealthCareProfessionalInformation_specialty2,HealthCareProfessionalInformation_specialty3,HealthCareProfessionalInformation_specialty4,HealthCareProfessionalInformation_specialty5,HealthCareProfessionalInformation_specialty6,HealthCareProfessionalInformation_specialty7,HealthCareProfessionalInformation_specialty8,HealthCareProfessionalInformation_specialty9,HealthCareProfessionalInformation_specialty10,HealthCareProfessionalInformation_specialty11,HealthCareProfessionalInformation_specialty12,HealthCareProfessionalInformation_specialty13,HealthCareProfessionalInformation_specialty14,HealthCareProfessionalInformation_specialty15,HealthCareProfessionalInformation_insurancesAccepted1,HealthCareProfessionalInformation_insurancesAccepted2,HealthCareProfessionalInformation_insurancesAccepted3,HealthCareProfessionalInformation_insurancesAccepted4,HealthCareProfessionalInformation_insurancesAccepted5,HealthCareProfessionalInformation_insurancesAccepted6,HealthCareProfessionalInformation_insurancesAccepted7,HealthCareProfessionalInformation_insurancesAccepted8,HealthCareProfessionalInformation_insurancesAccepted9,HealthCareProfessionalInformation_insurancesAccepted10,HealthCareProfessionalInformation_insurancesAccepted11,HealthCareProfessionalInformation_insurancesAccepted12,HealthCareProfessionalInformation_insurancesAccepted13,HealthCareProfessionalInformation_insurancesAccepted14,HealthCareProfessionalInformation_insurancesAccepted15,HealthCareProfessionalInformation_school1,HealthCareProfessionalInformation_school2,HealthCareProfessionalInformation_school3,HealthCareProfessionalInformation_school4,HealthCareProfessionalInformation_school5,HealthCareProfessionalInformation_school6,HealthCareProfessionalInformation_school7,HealthCareProfessionalInformation_school8,HealthCareProfessionalInformation_school9,HealthCareProfessionalInformation_school10,HealthCareProfessionalInformation_school11,HealthCareProfessionalInformation_school12,HealthCareProfessionalInformation_school13,HealthCareProfessionalInformation_school14,HealthCareProfessionalInformation_school15,HealthCareProfessionalInformation_residency1,HealthCareProfessionalInformation_residency2,HealthCareProfessionalInformation_residency3,HealthCareProfessionalInformation_residency4,HealthCareProfessionalInformation_residency5,HealthCareProfessionalInformation_residency6,HealthCareProfessionalInformation_residency7,HealthCareProfessionalInformation_residency8,HealthCareProfessionalInformation_residency9,HealthCareProfessionalInformation_residency10,HealthCareProfessionalInformation_residency11,HealthCareProfessionalInformation_residency12,HealthCareProfessionalInformation_residency13,HealthCareProfessionalInformation_residency14,HealthCareProfessionalInformation_residency15,HealthCareProfessionalInformation_fellowship1,HealthCareProfessionalInformation_fellowship2,HealthCareProfessionalInformation_fellowship3,HealthCareProfessionalInformation_fellowship4,HealthCareProfessionalInformation_fellowship5,HealthCareProfessionalInformation_fellowship6,HealthCareProfessionalInformation_fellowship7,HealthCareProfessionalInformation_fellowship8,HealthCareProfessionalInformation_fellowship9,HealthCareProfessionalInformation_fellowship10,HealthCareProfessionalInformation_fellowship11,HealthCareProfessionalInformation_fellowship12,HealthCareProfessionalInformation_fellowship13,HealthCareProfessionalInformation_fellowship14,HealthCareProfessionalInformation_fellowship15
Dharma Digital Marketing Agency,3555 Northwest 83rd Avenue Suite 320,,Doral,FL,US,33122,No,+1 305-613-2396,,,,,,https://dharmadigitalmarketingagency.com/,rspychaj@vendasta.com,,,,,AG-3W8HML6KQB,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McDonald's,1706 Preston Ave N,,Saskatoon,SK,CA,S7N 4Y1,No,3069558677,,,,,,,,,Yes,,Yes,AG-BD4SBP8M8M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hills testpractic & Wellness,,,,,,,No,+1 732-389-8000,,,,,,https://drantoldi.com/,afazal@vendasta.com,,,,,AG-QFL5RJ7NQ7,Agriculture,ho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active Release and Chiropractic Center: Dr. Anthony Criscuolo  DC,3350 NJ-138 Building 2 Suite 227,,Wall Township,NJ,US,7719,No,+1 732-280-1800,,,,,,https://www.activereleasetechnique.com/,,,,,,AG-238CTFJ8JW,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00,19:00,Monday; Tuesday; Wednesday; Thursday,,8:00,18:00,Friday,,8:00,12:00,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.O.Academy School,Old Purulia Road,,Jamshedpur,JH,IN,832110,No,+91 76430 17936,,,,,,,,,,,,AG-N8Z46D86X8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFC Yum! Center,1 Arena Plaza,,Louisville,KY,US,40202,No,+1 502-690-9000,,,,,,http://www.kfcyumcenter.com/,,,,,Yes,AG-BQBWPV2SQJ,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test company 2,,,,,,,No,,,,,,,,iselvaraj@vendasta.com,,,,,AG-86TTZB368M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Get Adjusted Chiropractic PC,519 8th Ave #811,,New York,NY,US,10018,No,+1 609-448-6741,8458098300,,,,,http://www.getadjustednow.com/,,,,,,AG-4X3HH2T48X,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:00,19:00,Monday; Wednesday,,11:00,19:00,Tuesday,,8:00,15:00,Thursday; Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Innate Living Center,740 NJ-34,,Matawan,NJ,US,7747,No,+1 718-275-1314,7325837799,,,,,http://www.innatelivingcenter.com/,,,,,,AG-F2DKDB76FW,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:00,12:00,Monday; Wednesday; Thursday,,15:30,18:30,Monday; Thursday,,15:00,18:00,Wednesday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to Health,136 St Paul St,,Westfield,NJ,US,7090,No,+1 732-634-5155,,,,,,https://backtohealth.live/,,,,,,AG-RBQLSF87G4,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edison Chiropractic,776 Amboy Ave # 200,,Edison,NJ,US,8837,No,+1 732-661-0330,,,,,,http://www.edisonchiro.com/,,,,,,AG-MGP75RJH3J,Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:30,13:00,Monday; Friday,,15:00,18:00,Monday; Friday,,16:00,20:00,Wednesday,,9:30,11:30,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
